CAD_commit,pair,grid,frequency_MHz,Sdd11_dB,Scd21_dB,insertion_loss_dB
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,1,-80.1485296817763,-103.55647382273654,0.00048115347860611937
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,2,-74.13827324941532,-97.80049904301757,0.00048116075569603153
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,3,-70.61839119214173,-94.32948420528787,0.00048117291200547817
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,4,-68.12032624524832,-91.8486174841064,0.0004811899892593835
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,5,-66.18248690706548,-89.91871246867765,0.00048121204587418467
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,6,-64.59909238250845,-88.33958042699349,0.0004812391569153999
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,7,-63.26033128569273,-87.00333527435566,0.00048127141412656016
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,8,-62.10064259975865,-85.8452222431413,0.0004813089258694188
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,9,-61.077732896461264,-84.8233336520412,0.00048135181712780973
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,10,-60.16272218927034,-83.90899288130015,0.000481400229473895
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,11,-59.335010411902324,-83.08171532084289,0.00048145432103634223
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,12,-58.579386627362595,-82.3263595275507,0.0004815142664887529
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,13,-57.88429913764106,-81.63141766216198,0.00048158025698697934
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,14,-57.24076842034317,-80.98793898932058,0.00048165250015273244
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,15,-56.64167597248374,-80.38882453471942,0.0004817312200340439
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,16,-56.08128311676409,-79.82834924756459,0.0004818166570281181
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,17,-55.55489593234444,-79.30182894953064,0.0004819090678880853
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,18,-55.05862609740839,-78.80538243393926,0.0004820087256159584
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,19,-54.58921647511416,-78.33575785843496,0.00048211591946263567
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,20,-54.14391148664913,-77.8902036499311,0.00048223095483146655
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,21,-53.72035914219615,-77.46637089461964,0.0004823541532271425
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,22,-53.316535882440746,-77.06223842704492,0.0004824858522065183
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,23,-52.93068813995005,-76.6760545654168,0.00048262640529567907
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,24,-52.56128634649802,-76.30629124325912,0.0004827761819291895
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,25,-52.20698833507658,-75.9516075016686,0.0004829355673748769
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,26,-51.86660992390382,-75.61082013975,0.0004831049626537931
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,27,-51.539101054833594,-75.28287990257172,0.0004832847844717498
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,28,-51.223526273289686,-74.96685199848255,0.0004834754651277083
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,29,-50.91904863500116,-74.66190003438497,0.0004836774524298855
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,30,-50.62491634206723,-74.36727267378198,0.0004838912096157176
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,31,-50.34045157106707,-74.08229248199206,0.00048411721524867945
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,32,-50.06504107542304,-73.80634654191195,0.0004843559631266764
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,33,-49.798128234270195,-73.53887851355489,0.0004846079621991173
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,34,-49.53920628861204,-73.27938187861962,0.0004848737364376963
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,35,-49.28781255817324,-73.02739416418399,0.00048515382477082585
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,36,-49.04352347311226,-72.78249197988764,0.0004854487809303109
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,37,-48.80595028659134,-72.54428673498573,0.00048575917338867554
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,38,-48.57473535920682,-72.31242092643078,0.0004860855852212695
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,39,-48.34954892613481,-72.08656490903279,0.00048642861399248366
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,40,-48.13008627362969,-71.86641407444355,0.000486788871646789
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,41,-47.91606526421429,-71.65168637841265,0.0004871669843708454
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,42,-47.70722416012853,-71.44212016597537,0.0004875635924941852
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,43,-47.50331970291511,-71.23747225249575,0.0004879793503416796
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,44,-47.30412541380077,-71.0375162252395,0.0004884149261216878
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,45,-47.109430085098,-70.8420409358641,0.000488871001761166
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,46,-46.91903643742532,-70.6508491584441,0.000489348272820821
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,47,-46.73275992134664,-70.4637563919371,0.0004898474483128626
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,48,-46.55042764518367,-70.28058978858002,0.000490369250586263
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,49,-46.37187741338484,-70.101187192838,0.0004909144151637988
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,50,-46.196956862050975,-69.92539627740985,0.0004914836906273132
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,51,-46.02552268006761,-69.75307376473138,0.0004920778384229349
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,52,-45.85743990587127,-69.58408472413737,0.0004926976327569511
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,53,-45.692581291201144,-69.41830193591733,0.0004933438604135653
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,54,-45.53082672432555,-69.25560531477953,0.0004940173206131626
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,55,-45.37206270619079,-69.09588138626232,0.0004947188248319977
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,56,-45.21618187377256,-68.93902281030502,0.0004954491966701067
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,57,-45.06308256561412,-68.78492794691525,0.0004962092716681051
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,58,-44.91266842515097,-68.63350045971154,0.0004969998971577423
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,59,-44.76484803794288,-68.48464895325178,0.0004978219320652022
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,60,-44.61953459939582,-68.33828664090251,0.0004986762467597307
8826733f6bac66601fcc5b53ac91cfe502fe35e8,A,main,61,-44.476645609948704,-68.19433104012813,0.0004995637228858704
